areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,18-Apr,Nagavarapalya,3 BHK,PuonsSe,1788,3.0,1.0,164.0,Bangalore North
Super built-up  Area,18-Aug,Kudlu Gate,3 BHK,Sanzaat,1850,3.0,2.0,120.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Cilip J,1315,2.0,2.0,60.0,Bangalore East
Plot  Area,Ready To Move,Yelahanka,7 Bedroom,,1400,5.0,2.0,175.0,Bangalore North
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,2223,3.0,2.0,300.0,Bangalore South
Plot  Area,Ready To Move,BEML Layout,2 Bedroom,,2400,2.0,1.0,228.0,Bangalore West
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1143,2.0,1.0,34.2,Bangalore South
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,3200,4.0,1.0,350.0,Bangalore South
Plot  Area,20-Jul,Kanakpura Road,4 Bedroom,,3170,4.0,3.0,250.0,Bangalore South
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1485,2.0,2.0,59.4,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,251.0,Bangalore South
Carpet  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,45.06Sq. Meter,2.0,1.0,18.0,Bangalore North
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1654,3.0,,97.8,Bangalore North
Built-up  Area,Ready To Move,Ngef Layout,4 Bedroom,,2100,3.0,1.0,1000.0,Bangalore South
Super built-up  Area,18-Jan,Bellandur,3 BHK,NiCodCa,1685,3.0,3.0,101.0,Bangalore South
Built-up  Area,Ready To Move,Banashankari,3 BHK,Sksia A,1540,3.0,3.0,80.0,Bangalore South
Super built-up  Area,18-Jan,Thanisandra,2 BHK,Bhmesy ,1265,2.0,1.0,72.0,Bangalore North
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1200,2.0,3.0,38.4,Bangalore South
Super built-up  Area,Ready To Move,Ramamurthy Nagar Extension,3 BHK,,1540,3.0,2.0,65.0,Bangalore East
Built-up  Area,Ready To Move,Bellandur,3 BHK,,1735,3.0,3.0,105.0,Bangalore South
Plot  Area,Ready To Move,HSR Layout,4 Bedroom,,2500,4.0,3.0,300.0,Bangalore South
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480,4.0,1.0,265.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,2 BHK,VHistal,1142,2.0,0.0,35.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,48.0,Bangalore South
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1125,2.0,1.0,32.49,Bangalore South
Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,,1125,2.0,1.0,32.49,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Doissa ,1575,2.0,3.0,85.0,Bangalore South
Super built-up  Area,18-Dec,Hosa Road,2 BHK,SJerse ,1360,2.0,1.0,77.61,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1710,3.0,2.0,85.0,Bangalore South
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1200,2.0,1.0,34.65,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,SNity S,2185,3.0,3.0,120.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1195,2.0,1.0,35.84,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1012,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130,2.0,2.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,1744,4.0,1.0,210.0,Bangalore South
Super built-up  Area,18-Jul,Rajaji Nagar,4 BHK,ProdsWe,2733,5.0,2.0,259.0,Bangalore South
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2970,3.0,3.0,130.0,Bangalore South
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,Sagalhi,2560,4.0,,310.0,Bangalore North
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1172,2.0,2.0,75.0,Bangalore South
Plot  Area,Ready To Move,5th Block Jayanagar,3 Bedroom,,500,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1495,3.0,2.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1738,2.0,1.0,57.35,Bangalore South
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1315,2.0,2.0,50.0,Bangalore East
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Xeitaa ,1270,2.0,3.0,73.0,Bangalore East
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,SNbay G,1160,2.0,1.0,52.2,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1450,2.0,1.0,67.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1205,2.0,2.0,29.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1135,2.0,2.0,58.0,Bangalore East
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1224,2.0,2.0,48.95,Bangalore South
Built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664,1.0,1.0,34.0,Bangalore North
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1160,2.0,2.0,42.0,Bangalore South
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1220,2.0,1.0,35.2,Bangalore South
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,Beesta ,900,2.0,1.0,72.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari 6th Stage,2 BHK,,1330,2.0,2.0,80.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,2100,3.0,1.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335,4.0,3.0,290.0,Bangalore South
Built-up  Area,18-Apr,Whitefield,3 Bedroom,Prtates,3150,3.0,1.0,290.0,Bangalore East
Plot  Area,Ready To Move,Hennur Road,4 Bedroom,,2400,5.0,3.0,500.0,Bangalore North
Super built-up  Area,18-Jun,Electronic City Phase II,2 BHK,Coomee ,1244,2.0,1.0,55.0,Bangalore South
Super built-up  Area,18-May,Gunjur Palya,3 BHK,,1400,3.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Phens G,1000,2.0,2.0,35.0,Bangalore East
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1056,1.0,0.0,250.0,Bangalore South
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470 - 2790,5.0,0.0,188.0,Bangalore North
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,5.0,3.0,198.0,Bangalore North
Built-up  Area,Ready To Move,Yelahanka,2 BHK,AdniaSk,1250,2.0,2.0,54.0,Bangalore North
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1305,2.0,1.0,110.0,Bangalore North
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,,3009,3.0,1.0,331.0,Bangalore South
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Clsto C,1654,3.0,3.0,70.0,Bangalore East
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,125.0,Bangalore East
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1069,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,750,1.0,1.0,18.5,Bangalore South
Plot  Area,Ready To Move,Banashankari,4 Bedroom,,675,4.0,0.0,140.0,Bangalore South
Built-up  Area,17-Dec,Hormavu,3 Bedroom,,2400,3.0,1.0,177.0,Bangalore South
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,2.0,240.0,Bangalore South
Plot  Area,Ready To Move,Koramangala,4 Bedroom,,1410,2.0,0.0,280.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,130.0,Bangalore South
Super built-up  Area,Ready To Move,Sadanand Nagar,3 BHK,,3500,4.0,2.0,500.0,Bangalore East
Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,2.0,93.5,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1595,3.0,1.0,105.0,Bangalore North
Super built-up  Area,15-Nov,Hennur Road,3 BHK,,1480,3.0,,100.0,Bangalore North
Super built-up  Area,19-Sep,Koramangala,3 BHK,Prood P,1866,4.0,2.0,245.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,RMudeat,3895,3.0,2.0,390.0,Bangalore North
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1683,3.0,2.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,545,2.0,1.0,22.34,Bangalore South
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1340,2.0,2.0,73.0,Bangalore North
Plot  Area,Ready To Move,Akshaya Nagar,1 Bedroom,,2000,1.0,0.0,200.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sriffhi,1185,2.0,2.0,56.0,Bangalore East
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1730,3.0,1.0,95.0,Bangalore South
Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,1450,3.0,1.0,88.6,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1862,4.0,1.0,110.0,Bangalore South
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000,5.0,1.0,578.0,Bangalore South
Built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2430,5.0,2.0,180.0,Bangalore North
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Prionve,1075,2.0,2.0,50.0,Bangalore North
Super built-up  Area,17-Jun,Sarjapur,2 BHK,,850,2.0,2.0,32.0,Bangalore South
Built-up  Area,Ready To Move,8th Block Jayanagar,6 Bedroom,,2000,6.0,3.0,300.0,Bangalore South
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Malmser,1725,3.0,3.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Dodda Banaswadi,2 BHK,,1120,2.0,3.0,36.0,Bangalore North
Super built-up  Area,18-Jul,7th Phase JP Nagar,3 BHK,,2000,3.0,2.0,77.0,Bangalore South
Built-up  Area,Ready To Move,Koramangala,3 BHK,Saa 2Ai,1745,3.0,3.0,98.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270,2.0,2.0,55.25,Bangalore South
Built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130,2.0,1.0,75.0,Bangalore South
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,70.5,Bangalore South
Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,2800,5.0,3.0,130.0,Bangalore South
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,5.0,,290.0,Bangalore South
Super built-up  Area,18-Dec,Whitefield,4 BHK,Goted U,2956,5.0,,234.0,Bangalore East
Plot  Area,Ready To Move,Begur Road,5 Bedroom,,1100,5.0,1.0,165.0,Bangalore South
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1398,2.0,1.0,97.0,Bangalore East
Super built-up  Area,Ready To Move,Nagavara,2 BHK,,1110,2.0,2.0,44.95,Bangalore North
Built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Sarch M,1116,2.0,1.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,,620,1.0,1.0,86.8,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1270,2.0,2.0,57.0,Bangalore North
Super built-up  Area,18-Apr,Peenya,2 BHK,,966,2.0,2.0,50.0,Bangalore North
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,1200,6.0,2.0,330.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1155,2.0,1.0,69.18,Bangalore North
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378,3.0,1.0,310.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,MBrrySt,1011,2.0,2.0,38.0,Bangalore South
Built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203,2.0,2.0,72.0,Bangalore South
Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645,3.0,2.0,113.0,Bangalore North
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Honcyju,1364,2.0,3.0,50.0,Bangalore North
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1365,3.0,3.0,66.0,Bangalore North
Built-up  Area,Ready To Move,Panathur,2 BHK,,1065,2.0,1.0,58.0,Bangalore East
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270,2.0,1.0,55.25,Bangalore South
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,,2900,4.0,2.0,325.0,Bangalore North
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NDivaOl,1515,2.0,3.0,69.0,Bangalore South
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,,940,2.0,2.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,80.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,175.0,Bangalore South
Plot  Area,19-Jan,Basaveshwara Nagar Yelahanka,3 Bedroom,,3210,4.0,2.0,380.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,42.67,Bangalore North
Built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3.0,2.0,125.0,Bangalore South
Super built-up  Area,17-May,Electronics City Phase 1,2 BHK,,940,2.0,1.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1530,3.0,2.0,71.0,Bangalore East
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,49.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,PaantPl,1530,3.0,3.0,75.0,Bangalore East
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,978,2.0,1.0,34.22,Bangalore South
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1066,2.0,3.0,55.0,Bangalore North
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Palleon,635,1.0,0.0,28.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Arria G,1015,2.0,1.0,45.0,Bangalore East
Built-up  Area,Ready To Move,Hebbal,2 BHK,AraraSa,1175,2.0,0.0,54.05,Bangalore North
Super built-up  Area,18-May,Vidyaranyapura,2 BHK,,1188,2.0,1.0,50.0,Bangalore North
Built-up  Area,Ready To Move,Ejipura,2 BHK,Prsichi,1210,2.0,0.0,75.0,Bangalore South
Plot  Area,18-Apr,Attibele,3 Bedroom,Goe 2me,1000,3.0,1.0,90.0,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Suavea ,1500,2.0,,99.0,Bangalore South
Plot  Area,Ready To Move,Electronic City,4 Bedroom,Aroveth,1800,3.0,2.0,190.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.66,Bangalore North
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,1.0,28.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Jatish ,1300,2.0,2.0,69.23,Bangalore North
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,MSopsw ,1100,2.0,1.0,68.0,Bangalore South
Super built-up  Area,18-Jun,Panathur,2 BHK,,1007,2.0,1.0,64.0,Bangalore East
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1100,2.0,2.0,48.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1187,2.0,1.0,38.0,Bangalore East
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,,1150,2.0,2.0,72.0,Bangalore North
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3.0,2.0,252.0,Bangalore North
Super built-up  Area,18-Apr,Aavalahalli,2 BHK,,1180,2.0,3.0,41.94,Bangalore South
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,85.2,Bangalore North
Plot  Area,Ready To Move,Sector 1 HSR Layout,3 Bedroom,,2400,6.0,2.0,775.0,Bangalore South
Super built-up  Area,Ready To Move,KR Puram,4 BHK,,3628,4.0,1.0,246.0,Bangalore East
Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,40.0,Bangalore South
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,1165,2.0,1.0,40.77,Bangalore North
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1569,3.0,2.0,118.0,Bangalore North
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,,1950,4.0,3.0,95.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,,2437,3.0,2.0,125.0,Bangalore North
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,950,2.0,2.0,46.7,Bangalore East
Built-up  Area,18-Jul,Bellandur,3 BHK,NiCodCa,1685,3.0,3.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1314,2.0,2.0,110.0,Bangalore South
Plot  Area,Ready To Move,Doddakannelli,6 Bedroom,,1200,9.0,3.0,122.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Santste,2247,3.0,,145.0,Bangalore East
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,3.0,2.0,85.0,Bangalore East
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1053,2.0,1.0,53.0,Bangalore North
Plot  Area,Ready To Move,Begur Road,3 Bedroom,,1200,3.0,0.0,50.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,3940,5.0,3.0,265.0,Bangalore East
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1241,2.0,1.0,65.0,Bangalore North
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2980,4.0,2.0,260.0,Bangalore South
Plot  Area,Ready To Move,7th Block Koramangala,6 Bedroom,,600,5.0,3.0,130.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Vaw 1il,1090,2.0,2.0,57.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,2.0,1.0,52.97,Bangalore South
Built-up  Area,Ready To Move,Koramangala,2 BHK,HawerMa,1350,2.0,2.0,103.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,116.0,Bangalore South
Built-up  Area,Ready To Move,BTM Layout,3 BHK,,2400,3.0,2.0,220.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,3700,4.0,2.0,325.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,93.01,Bangalore South
Plot  Area,18-Mar,Chikka Tirupathi,3 Bedroom,Theanmp,2325,3.0,,95.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1896,3.0,2.0,102.0,Bangalore South
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1540,3.0,2.0,48.51,Bangalore South
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Naandit,1365,2.0,2.0,65.0,Bangalore South
Super built-up  Area,18-May,Thanisandra,1 BHK,SaSkyBl,580,1.0,1.0,27.5,Bangalore North
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,HMityld,1513,2.0,3.0,62.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1175,2.0,1.0,41.13,Bangalore South
Super built-up  Area,17-Jan,Thanisandra,3 BHK,Soitya ,2087,4.0,2.0,139.0,Bangalore North
Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2050,3.0,2.0,150.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1190,2.0,3.0,59.0,Bangalore East
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1019,2.0,2.0,49.86,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,MamelKa,1028,2.0,1.0,56.0,Bangalore South
Built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300,2.0,2.0,100.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1160,2.0,1.0,67.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1175,2.0,1.0,41.68,Bangalore South
Super built-up  Area,18-May,Devanahalli,2 BHK,Jurdsig,1230,2.0,1.0,56.45,Bangalore North
Super built-up  Area,18-Jun,Old Madras Road,5 BHK,Brica E,4500 - 5540,7.0,0.0,287.0,Bangalore North
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Vimesar,1750,2.0,2.0,89.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,1400,2.0,1.0,100.0,Bangalore South
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1350,3.0,0.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Reion M,1675,3.0,3.0,62.0,Bangalore North
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1340,2.0,1.0,66.33,Bangalore North
Built-up  Area,Ready To Move,Malleshwaram,2 Bedroom,,600,1.0,0.0,68.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1276,2.0,2.0,76.0,Bangalore South
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1738,2.0,3.0,76.0,Bangalore South
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.45,Bangalore South
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,,2150,4.0,2.0,90.0,Bangalore East
Built-up  Area,Ready To Move,Koramangala,4 Bedroom,,6000,4.0,0.0,625.0,Bangalore South
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,600,3.0,0.0,77.0,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,268.0,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,1.0,77.44,Bangalore South
Plot  Area,Ready To Move,"Yelahanka,MVIT college",1 Bedroom,,10030,1.0,1.0,150.0,Bangalore North
Super built-up  Area,18-May,Kanakpura Road,3 BHK,Wiowsri,1450,2.0,2.0,70.18,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MVnexde,890,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Esave E,1340,2.0,3.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,,1100,2.0,1.0,75.0,Bangalore North
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,40.0,Bangalore South
Plot  Area,Ready To Move,Basaveshwara Nagar,4 Bedroom,,700,4.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1300,2.0,2.0,66.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1299,2.0,1.0,105.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Ieuseut,1600,4.0,2.0,300.0,Bangalore East
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,Sreat R,3900,3.0,3.0,250.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1107,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1300,2.0,1.0,67.0,Bangalore South
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,,570,2.0,1.0,62.0,Bangalore North
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1200,2.0,1.0,55.0,Bangalore South
Plot  Area,Ready To Move,9th Block Jayanagar,6 Bedroom,,1200,5.0,1.0,280.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Saavean,1144,2.0,2.0,65.0,Bangalore East
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.01,Bangalore South
Built-up  Area,Ready To Move,Kengeri Satellite Town,5 BHK,,1200,5.0,2.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,3.0,1.0,91.0,Bangalore North
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,SRldsnt,1430,2.0,0.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srconor,1240,2.0,2.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1000,2.0,3.0,28.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.45,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3005,5.0,,275.0,Bangalore South
Built-up  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,,936,2.0,1.0,60.84,Bangalore South
Super built-up  Area,18-Apr,Banashankari Stage III,3 BHK,,1500,2.0,2.0,100.0,Bangalore South
Plot  Area,18-May,Sarjapur,4 Bedroom,Prldsum,4201,4.0,3.0,435.0,Bangalore South
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1216,2.0,1.0,66.88,Bangalore East
Super built-up  Area,19-Aug,Hormavu,2 BHK,,1196,2.0,1.0,44.8,Bangalore South
Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,610,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1215,2.0,3.0,48.6,Bangalore South
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1180,2.0,1.0,77.0,Bangalore East
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2.0,1.0,33.51,Bangalore South
Super built-up  Area,20-Sep,Whitefield,3 BHK,Goted U,2140,3.0,2.0,139.0,Bangalore East
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1500,3.0,1.0,100.0,Bangalore North
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,Naavehi,1008,2.0,2.0,52.0,Bangalore North
